UpsjYK4bky8|||FUN WITH COLORFUL GAS - TAMIL|||1:41
A6aZxtLkNkY|||FUN WITH CANDLE FOUNTAIN - TAMIL|||1:39
pLcPfSAIWo0|||INVISIBLE GLASS - TAMIL|||2:41
bg3UWgRdaT0|||TWO BOTTLE FOUNTAIN  - TAMIL|||1:57
L-C89rwU2TU|||MUSICAL SOUND - TAMIL|||1:04
YAM_9G2W3pk|||PAPER CIRCUIT GREETINGS - TAMIL|||1:34
vE2tjr-uOzU|||FUN WITH HOT WATER - TAMIL|||1:28
tb60KNLb1XM|||FUN WITH CO2 - TAMIL|||2:14
_FI_V3BRvuQ|||FUN WITH A CANDLE - TAMIL|||1:55
he7qWIXuXds|||AIR HAS WEIGHT - TAMIL|||2:26
Qp32wyj7LYQ|||HIDING FISH - TAMIL|||2:43
exC-617kOYM|||SODA BOTTLE FOUNTAIN - TAMIL|||1:52
0MWmycrOLi8|||RESISTANT PENCIL - TAMIL|||2:24
ptsAcQsKhSQ|||BOTTLE SHOWER - TAMIL|||1:28
9uuMiPH16SM|||BI-METALLIC ALARM - TAMIL|||1:31
-rqU91ZihqI|||SHIMMERING MATCHBOX - TAMIL|||1:07
M5bFVCfBCpg|||TERRIFIC TORNADO - TAMIL|||1:10
BzoDqQWQ8z8|||STRAW FLUTE - TAMIL|||1:26
ZR2g7k6BRLk|||TIN SHRINK - TAMIL|||2:37
Z1tToWDsbI8|||L. E. D. TORCH - TAMIL|||2:00
yszossEqBgk|||BRAIN MUSCLE COORDINATION - TAMIL|||55
ce1aehzLvWg|||MOVING MONKEYS - TAMIL|||1:28
kjQ2Fqbzguc|||SHIMMERING FISH - TAMIL|||1:37
8zi15fa32WI|||POTATO INERTIA - TAMIL|||46
qk0lVJmBBKE|||EXPANSION OF AIR - TAMIL|||1:23
_9RaVcmUy-w|||EduClassics Title Hindi|||6
3waWdeY9c4I|||Teacher - Hindi - Sylvia Ashton Warner|||7:10
YkkwJrQ3MDU|||TEACHER - ENGLISH - SYLVIA ASHTON-WARNER|||5:04
w6F5EHHoABg|||TOTTOCHAN - ENGLISH - TETSUKO KUROYANAGI|||8:38
HMQ_OG8kzD4|||TOTTOCHAN – HINDI - TETSUKO KUROYANAGI|||9:05
-f3HalMhjpI|||DIVASWAPNA  - ENGLISH - GIJUBHAI BADHEKA|||15:59
FmJNcgUFLso|||DIVASWAPNA - HINDI - GIJUBHAI BADHEKA|||15:40
Ix-MLurnLGw|||I WISH TO BE A HUMMING BIRD - TAMIL - WANGHARI MATTHAI|||2:02
VIBno4fblh0|||MOTOR PUMP - NEPALI|||3:42
p9HMxK1hXGg|||DROP BY DROP - NEPALI|||2:57
k8OB4wJ3qMU|||NEWTON'S BOAT - NEPALI|||1:31
Mj8WUPYbBOg|||SOLAR BOAT - NEPALI|||2:20
CTfkyCH1poM|||CD Yo-Yo  - MARATHI|||2:11
32EVtVNgXb4|||STAR WARS SLINKY - KANNADA|||4:14
zSWyvFmxL6Y|||ENERGY STICK - KANNADA|||3:47
CJSILX1dAyM|||COLOUR PERCEPTION - KANNADA|||3:46
mM8XWb1gem4|||STROOP TEST - KANNADA|||3:57
Hq3AOIMPk4Q|||POD ART - ITALIAN|||2:22
JiuJEc6b9i0|||NEWSPAPER CAP - ITALIAN|||2:43
OXnMY19e9Ao|||LEAF ZOO - ITALIAN|||1:31
F77ou_8Le5c|||FUN SPIRAL - ITALIAN|||1:44
TLg13L4bWQ4|||BALANCING JOKER - ITALIAN|||1:19
qBf6kCm89VY|||Play of Pi | Marathi|||1:14
ocMMYQf2vGk|||What Causes Earthquakes  | Bengali|||4:29
imDxXp0Chaw|||Paper Flower | Gerbera | Bengali|||2:49
J9oUdaqqOxI|||Astrosat  | Bengali|||4:47
FUWLQXBU7G0|||Plastic Tube Spray | Bengali|||1:57
teKFzH_W640|||TOOTH PASTE PUMP | Urdu|||1:27
1BlLgRYfqKU|||TUBE PROPELLER | Urdu|||1:34
O5PyK9uamrw|||STRAW CENTRIFUGE PUMP  | Urdu|||1:16
Jyv_u6blxF4|||THREAD LOOP | Urdu|||1:10
H_Z_B5ZrZ_w|||STRAW PROPELLER  | Urdu|||1:47
yB2HqRH7MAo|||Chai Puzzle | Bengali|||1:57
gESFgIAoWCY|||Play of Pi | Hindi|||1:14
Fn34yUYcX7A|||Fun with Volume | Bengali|||2:03
BnPDILJP2Pw|||Poke a Plastic Bag | Bengali|||1:55
-i4Zk3hFVTQ|||Chai Puzzle Answer | Bengali|||2:18
tYfhA71Lxb8|||JUMBO PUMP | Punjabi|||3:02
sQx0zDgfKm4|||Twenty Teaser | Punjabi|||1:23
O0FHzASFWSU|||Musical Obe | Punjabi|||1:59
JfbULt53nnk|||ROLLING BOTTLE | Punjabi|||2:03
3llBcLC3S4k|||SIMPLE PUMP | Punjabi|||2:04
3OZKV8JWjWM|||Paper House | Punjabi|||2:27
tRJ83HsSEaY|||STICK SPINNER | Urdu|||1:12
zyR2UkZCvq0|||SPOOKY SPOKE | Odiya|||49
fNevSybidf4|||SPIRAL SNAKE | Odiya|||1:43
HOjog56NOow|||STICK SPINNER | Odiya|||1:12
CaExV0sXA38|||DANCING DOLL | Odiya|||1:04
JdMZg1cjZqc|||SPOOKY SPOKE | Urdu|||49
y4fsNE26bM0|||PAPER FLEXAGON | Urdu|||2:58
sVAshDNGSoo|||NUT SPINNER | Urdu|||1:12
d8L5AOz17zg|||LEVITATING PENCIL | Urdu|||2:05
BMDrGZUhMD0|||SPIRAL SNAKE | Urdu|||1:43
YiS0w4mBTTs|||Fun with Cone | Bengali|||2:07
Tw8x83F2x8M|||Fun with Motor | Bengali|||2:12
DcfvB6umXXo|||Exercising Card Man | Bengali|||3:08
rtWiJkRFY9E|||Simple Top | Bengali|||2:33
oJgUrwXiPws|||Toy Motor Light house | Bengali|||2:49
_LE7tAVNEto|||Easy Coin Spinner | Marathi|||2:43
RIJn_oUF0fA|||Envelope Petals | Punjabi|||2:19
FC1_hrU8FPA|||D C  Motor | Punjabi|||3:29
KQM9aA7KZTQ|||Pod Art | Punjabi|||2:26
4Up7dn72fSs|||Paper Caper | Punjabi|||2:47
bmBXGUalG8Y|||Leaf Zoo | Punjabi|||1:34
uIEHQhNtvck|||Sinking and Floating ball | Marathi|||2:50
aZfYEEuhC9U|||Coin Motor | Bengali|||1:50
WC2PfUSaPR8|||Magnetic Rotaion | Euler's Disc | Bengali|||3:06
L-x7Fifo9CQ|||Swimming Fish | Bengali|||2:07
2zWJXHXPNF0|||Polygon to Cone | Bengali|||2:33
b0M26IdE9gI|||Standing Spinning Pencil | Punjabi|||3:00
TKgyMx4fTA0|||Ball Centrifuge | Punjabi|||1:36
ASqeKzmHdSE|||Jumping Dragon Fly | Punjabi|||2:02
6aYSV_vElDc|||Merry Go  Round | Punjabi|||1:20
5D6WYz9hpy8|||Fun Spiral | Punjabi|||1:48
zI0znNwrFhI|||Tree Tale | Bahunia Purpurea | Bengali|||1:59
s9Z1H-FaRis|||Paper Petals | Bengali|||4:41
dVENPNSxZjk|||Triangular Patterns | Bengali|||2:52
SxNSd2Wolkg|||Paper Camera | Bengali|||2:11
P_JIf1SBIo0|||Tree Tale | Peacock Flower | Bengali|||2:32
iqKM-XBqKNA|||FUNNY FOUNTAIN | Urdu|||1:31
RL4aAY0kMGc|||MAGNETIC BRAKING | Urdu|||1:35
FzmEvRhhmOc|||MAGNETIC SLOW SLIDE | Urdu|||42
DQbKDH54AVk|||MATCHBOX TRAIN | Urdu|||1:30
BCRD7PU8fN8|||MAGNETIC JUMPING FROG | Urdu|||1:13
0U8O4s4W5SI|||GLASS PROPELLER | Urdu|||1:30
ySDbThhNTsM|||FLOATING FORKS  | Urdu|||58
f12EDe5eOtI|||Fun with Prism | English|||2:34
ZcQcdpRzfB4|||FUNNY FLICK | Urdu|||1:27
EdunS0BPO4I|||FLAPPING BUTTERFLY |  Urdu|||1:27
01X-qkDIEoE|||FLAPPING EAR RABBIT | Urdu|||55
NkrTyPDLsf4|||Fun With Pyramid | Cube from Pyramids |  English|||2:32
HrDU_ip4P9U|||BOYLE'S BALLOON | Urdu|||1:13
yU5raFzDBkY|||BIRD IN CAGE | Urdu|||1:12
tQ899g_oumw|||Colour Mixer | Urdu|||1:13
j5T56AYl5ao|||BALLOON PUMP | Urdu|||2:12
CW8v4qVZwo0|||CLIMBING BUTTERFLY | Urdu|||2:00
xchozrBd8hg|||Curlicue Origami |Bengali|||3:18
wrbGnE5YNo4|||Spin and Precession | Bengali|||2:34
D6IMNWj3F0k|||Lift Marble Without Touching | Bengali|||2:34
1VB_D2S-5Gs|||Paper Mulberry | Bengali|||1:50
-6jiTftT0jE|||Pretty Bird | Bengali|||3:01
t3rM7zvXaiw|||Balancing  Ballerina  | Urdu|||1:30
HZH7W79dJjQ|||ATOMIC ARRAY  | Urdu|||1:30
D20aIah5ai0|||BALANCING NAILS  | Urdu|||55
ClUdFdcejLo|||ACROBAT | Urdu|||2:29
7XfCAtyVxHo|||14 PAGE BOOK  | Urdu|||2:01
yN_A5_FHiDU|||Bunny Rabbit | Punjabi|||3:13
UJ0z95T_uOk|||Paper Balloon | Punjabi|||4:04
RUrwfpXFTy4|||JCB Truck | Nepali|||2:16
Lhjb5H5FPW4|||Tree Tale | Bahava | Marathi|||1:55
GvA0EFkaaCU|||Finger Angles  | Marathi|||1:46
eXB6gQmabRE|||Perpetual Machine | Bengali|||2:54
UXQ2hvBKoqE|||Gravitational Wave Astronomy  Indian Perspective  Hindi|||6:58
Leo2GRVnLt4|||Thirsty Bottle | Bengali|||3:33
KuPgDUH5FIw|||Levitating Candle | Bengali|||2:34
GcYZDFloo7I|||Touchy Fountain | Bengali|||3:22
h4E5PaVn-Ig|||Marble Swan | Bengali|||3:23
9TVY1HZ8mFQ|||Tipsy Bottle | Bengali|||2:47
7yx-jF-drc0|||Far off Flame | Bengali|||2:43
0hioK-sdZ_E|||Static Magnetic Levitation | Hamsa Padmanabhan | English|||6:25
-sdyOJ_Cgo4|||Smallest Burns Longest | Bengali|||3:14
N3yjgpOTpxA|||Gravitional Wave Astronomy | Indian Perspective | Bengali|||6:58
hu1-ntOATJA|||Inflatable Lungs | Bengali|||3:24
cGh4aUkw8ws|||Fire Tornado | Bengali|||2:56
a0jBMhSB8qA|||Motor Pump | Bengali|||3:43
WcI3RS6YTw0|||Radiometer | Bengali|||2:52
ClEem-Z_QzQ|||Convection Smoke Flow | Bengali|||2:10
wcgbz2HIKz8|||Folding Paper Heart | Punjabi|||3:21
nnxMEe_gKw0|||Fun With CO2 | Marathi|||2:14
BwwJqMB4N1Y|||Eddy Current Dance | Punjabi|||3:57
8DwXAZj3_jw|||Simple Strobe | Punjabi|||3:25
tAM-aFthyYk|||Bottle Jet | Punjabi|||1:03
T4G5x-l1ImM|||Pen box | Punjabi|||1:30
LCFDQApWh8w|||Touching Slate | Punjabi|||2:43
JUxVEipces4|||Jumping Bug | Punjabi|||1:36
HXoPpXFq7Cw|||JCB Truck | Punjabi|||2:16
0nIvincZxBw|||Coke Can Aeroplane | Punjabi|||1:04
t2pqO0Mw1Ic|||Simple Tornado | Punjabi|||1:29
evMN6noXKN8|||Aluminium Can Motor | Punjabi|||59
7g9MjWXfo7g|||AN APPEAL TO DUB VIDEOS | English|||4:41
QkZ_T1nX2Cc|||Terrific Tornado  | Punjabi|||1:14
MziXVtAK4j0|||Dumper | Punjabi|||1:10
vKxehYQ1JLQ|||Spinning Flags | Gujarati|||2:08
kM6eVWWFVrM|||Gravitational Waves Detected | ENGLISH | Indian Perspective|||7:26
X1mPtwea7fc|||Paper Puppet | Gujarati|||2:29
IAPsWtnP2aY|||Fountain On Fingertip | Gujarati|||2:01
FMLy65MxhIY|||Stick Transmission | Gujarati|||1:54
B-c8TXT4_g4|||Colour Chroma | Gujarati|||2:50
xmunW7EiYoQ|||Bottle Spinner | Kannada|||2:50
NqSja5kpBvM|||Butterflies hide and Seek | Kannada|||3:24
AvL40C1DL2E|||String trick | Kannada|||2:17
36fkEAqUFR4|||Magnetic Coin Spinner | Kannada|||4:04
1GKxQk0SDMA|||Paper Swan | English|||2:21
wQ_Vl-1ili0|||Game of Base and Acid | Kannada|||3:28
jlz_mqV6_b8|||Fun With Candle Fountain | English|||1:39
YgrUiywmAaw|||COKE CAN STOVE |  Kannada|||2:51
7jnUIq0l5a4|||Square to Regular Pentagon | Kannada|||2:21
4XhUgbbX6v8|||Mango Leaf Purse | Kannada|||2:15
HjzvDz024ik|||Gravitational Wave Astronomy | Indian Perspective | Marathi|||7:12
XxA2k4ck9tA|||Gravitational Wave Astronomy | Indian Perpective | English|||6:58
nNCItnr5hno|||Balancing Toothbrush | Marathi|||1:36
QbSItAh4m4w|||Single cut triangle | Hindi|||3:04
MpC76jHl684|||One third cutting of mobius strip | Hindi|||2:20
IgQLY4rEeeg|||Three digit number trick | Hindi|||3:05
yixbzkMKnXQ|||Easy Spinner | Kannada|||4:04
uTo5c47bZzk|||Super fast fold a shirt | Kannada|||2:59
eiiahPCS4rQ|||FLOATING AND SINKING ORANGES | Kannada|||3:18
cJEQ9LoVdcU|||LED DIYAS | Kannada|||2:04
XLCZh_Wag5k|||Pencil Drawdio | Kannada|||3:51
_BBY-G6sOIs|||Fun with Mobius strip | English|||3:14
HXs2-nEGDxs|||Fun with Twisted Bottle | English|||1:43
6q3WcwGcJsU|||One-third Cutting of Mobius Strip | English|||2:19
1uKkI6Y46As|||Dual Mobius Strip Topology | English|||2:48
zVh6h-CvLsE|||Water on Mars | Kannada|||3:37
syS7sTHMwxU|||Paper Lantern | Kannada|||3:12
PlLlVtuY6wY|||Pentagonal Lantern | Kannada|||2:49
F_Xroqr-bYw|||Fun with Candle | English|||1:55
q05P5Zx_eGY|||Water Fountains | Kannada|||3:04
Xy1xRvgOmi4|||Matchstick puzzle - 1 | Kannada|||2:18
JG0S65gS_M8|||Astrosat India's first Space Observatory | Kannada|||4:47
7Ya5qSnbPhk|||Tree Tale | Nile Tulip | Kannada|||1:32
4Mme5MvZ_MY|||Matchsticks Puzzle - 2 | Kannada|||2:11
i-Usbe3PAmA|||FOLDING PAPER HEART | Gujarati|||3:21
JuB4KF9hDhU|||FLICK A BALL | Gujarati|||1:44
Gvmes5NoycQ|||Interlocking Hearts | Marathi|||2:23
BRNAWtyjRHY|||Fun with Mobius strip | Marathi|||3:14
0lTZrTbHT-Y|||LOOPES TO SQUARE | Gujarati|||2:18
ueKo0f5mtfs|||Whistling Bird | Hindi|||1:25
oOI5PFGyw9k|||What causes earthquakes | Kannada|||4:29
n_rRseug6Xo|||Poke a Plastic Bag | Kannada|||1:55
bg1Ycsil-aI|||Paper Flower | Gerbera | Kannada|||2:49
Lld43tRH7XY|||Plastic Tube Spray | Kannada|||1:57
zyuDkyB_5lc|||Tree Tale | KADAMBA | Punjabi|||2:11
togRHgF1PbU|||Fun With Motor | Kannada|||2:12
ToPrGPN56h8|||Largest Volume of Cone | Kannada|||3:18
Ctq-NEvtSY8|||Fun with cone | Kannada|||2:07
8gBF4-0oOSk|||Fun with Volume | Kannada|||2:03
wkG8Ypq5HOQ|||Water Pump | Punjabi|||1:57
qw1NVTzTGhM|||Thread Loop | Punjabi|||1:19
hDflILiAnfg|||Toothpaste Pump | Punjabi|||1:37
frxshqrhUWg|||Straw Centrifuge Pump | Punjabi|||1:26
Uksvst0enBs|||Tube Propellor | Punjabi|||1:44
U82Gu1n16j4|||Aluminium Can Motor | Punjabi|||1:08
PPokQ4UamFs|||Straw Propeller | Punjabi|||1:57
Lk6QoRwV-Dw|||Woodpecker | Punjabi|||1:49
3ZxYtWLgUig|||Simple Tornado | Punjabi|||1:38
w224x9Z4YYs|||Whistling Bird | English|||1:25
rPdNBCfNCgw|||Spiral Snake | Punjabi|||1:51
qkwwMawpylE|||Climbing Butterfly | Punjabi|||2:15
qdRfiMiv9Lg|||Simple Motor | Punjabi|||1:05
kULAB-5yPEo|||Paper Flexagon | Punjabi|||3:09
d8XPgY0pvSE|||Match Box Train | Punjabi|||1:45
Xm_7AvNXijk|||Stick Spinner | Punjabi|||1:23
TYTdR6HZlBo|||Magnetic Slow Slide | Punjabi|||57
LQyZQGF0tH4|||Levitating Pencil | Punjabi|||2:16
GD_-tVfauys|||Spooky Spoke | Punjabi|||1:00
yehVdkp29AQ|||Octagonal Welcome Flowers | Kannada|||3:29
zGYbgutTP9U|||EXERCISING CARD MAN | Kannada|||3:08
gi9oG8QWKno|||Balancing Toothbrush | Hindi|||1:36
JS-q1TuCHhA|||Simple Top | Kannada|||2:33
4MMOhWyuFas|||Toy Motor Lighthouse | Kannada|||2:49
xQNw1mK0EVk|||Swimming fish | Kannada|||2:07
bE8AgPxOvDM|||Coin  Motor | Kannada|||1:50
YVh2v05X_ZY|||Circling Doll | Hindi|||2:20
El5I_ScIz_s|||Magnetic Rotation | Euler's Disc | Kannada|||3:05
6VMSjFKwBjc|||Polygon to Cone  | Kannada|||2:33
vkWdOLuQ9uA|||Vibrating Snake | English|||2:06
ooGrc9SOyIo|||Triangular Patterns | Kannada|||2:52
YeLdTf4H2D4|||Tree Tale | Bauhinia Purpurea | Kannada|||1:59
V2NuHTVFcQM|||Open Generator | Kannada|||2:27
2qMhAGiIsmU|||Tree Tale | Peacock flower | Kannada|||2:32
xkRlVBTLX6A|||Exploring Isosceles triangle with Newspaper | Kannada|||4:22
wjp5D5uuafU|||Invisible glass | Kannada|||2:41
31SToMIIvX8|||FUNNY FOUNTAIN | Punjabi|||1:37
10q7WD2IR6w|||Circling Doll | English|||2:20
0IYfm2P8bmk|||Interlocking ice cream stick | Kannada|||3:06
z-yGuAAHpc4|||Visual Math | Geometric Series | Kannada|||2:44
oymOcc9yJLA|||Cutting of Neem Forest | Answer | Hindi|||2:23
MsjO9N9_ar8|||Fun with Surface tension | Kannada|||2:48
CE1Bqa2_qFg|||Floating Paper Clips | Kannada|||1:40
53jDAb9lM3c|||Triple fun with straw | Kannada|||2:22
ynnihSwrcqE|||Fun with Floating | Kannada|||2:23
exn1TNn8hiY|||Triangle To Square | Kannada|||3:00
_29DRbxRtpk|||Cutting of Neem Forest - Puzzle | Question | Hindi|||3:43
TB0VtyqEG3A|||Square to Circle | Kannada|||3:32
K4JFWOKqbA4|||Motor Boat | Kannada|||3:03
tWebGmn-GaU|||Motor with Merry go round | Kannada|||2:12
j4UdtVXCLvo|||Bus Frequency Puzzle - Answer | Hindi|||3:14
T0WudxReNwE|||Simple Balloon Boat | Kannada|||2:20
JhgWyXyGPS0|||Fun with Inertia | Kannada|||1:17
6tZ8l8Gb1wE|||Bottle Rocket | Kannada|||2:56
s0W3bYqAhfI|||LONGER SUMMERS IN NORTH HEMISPHER (KEPLER’S LAW) - Telugu|||2:51
R9Q12rsI2BE|||HOWLING HORN - Telugu|||1:26
Ic6FYlekleg|||Bus Frequency Puzzle | Hindi|||1:46
DVnqwq64QUU|||CURLICUE ORIGAMI - Telugu|||1:44
sLIZYq7oU9M|||Magnetic Jumping Frog | Punjabi|||1:19
ifxmk_t4WDA|||WHY SEASONS HAPPEN – MISCONCEPTIONS! - Telugu|||2:28
fh1AlpVesMg|||REAL CAUSE OF SEASONS - Telugu|||3:19
azNblubl7io|||Balloon Pump | Punjabi|||2:19
-7q7ar_6uyc|||WHICH HEMISPHERE HAS HOTTER SUMMER? | Telugu|||2:28
HapJ5v3P0CQ|||CANDLE FUN | Punjabi|||1:37
cWiOC1DIGTI|||Straw Flute | Punjabi|||1:33
P-AMu2QmCfc|||Pencil Spinner | Punjabi|||1:04
NmTs1bZ2JTQ|||Magnetic Coin Spinner | English|||4:04
twC8PTAP9QU|||Funny Fountain | Punjabi|||1:37
jRcpOEanKz8|||Glass Propeller | Punjabi|||1:37
gR3m9wwmHHY|||Magnetic Braking | Eddy Current | Punjabi|||1:42
UXHz7Xcwg28|||FUNNY FLICK | Punjabi|||1:34
8PuKj1rpxSw|||Fun with Plasma ball | English|||3:16
ap0HSxnH2KE|||COLOR MIXER |  Punjabi|||1:20
IB86_ubpjXU|||BALANCING TOOTHBRUSHES | English|||1:36
FPY-qlyUzEk|||FLAPPING EAR RABBIT | Punjabi|||1:00
AywCy4_Y2-I|||BOYLE'S BALLOON | Punjabi|||1:20
5C4q3ZzIkJ4|||Balancing / Dancing Doll | Punjabi|||1:07
qouEliVoFqQ|||Fun with Plasma ball | Hindi|||3:26
ZoyDwvhBiU0|||BIRD IN CAGE | Punjabi|||1:19
ZV4iID3Hnqo|||ATOMIC ARRAY |  Punjabi|||1:37
VD3aYCTV498|||Balancing Ballerina | Punjabi|||1:37
OTxyWSVURWg|||ACROBAT | Punjabi|||2:36
_RoMypMzDhE|||TREE TALE | MANGO |  Kannada|||1:34
fkqvqJmCBPY|||Styrofoam Glider | Kannada|||2:24
O-VCvs3zx0Q|||Dynamic Paper Toys | Kannada|||1:58
MmQvVYphDeI|||Days and Night on Moon | Kannada|||4:11
4_EASNgGHK0|||Boyle's Balloon In Bottle | Kannada|||3:10
tbEI6tNdq4M|||Fun with Mobius strip | Hindi|||3:14
kMFneczDCyQ|||One third Cutting of Mobius Strip | Marathi|||2:20
Z9zM1FeyP6w|||Interlocking hearts | Hindi|||2:23
SCjZOOUupgs|||Twisted Mobius Hearts | Hindi|||2:09
ONUlFU_BJ3o|||Dual Mobius Strip Topology | Hindi|||2:48
qblI_GBydsY|||Modular Origami Ball | Kannada|||6:16
fgf32exvJZw|||Spin and precession | Kannada|||2:34
aO9LOWwm3Xs|||Paper Camera | Kannada|||2:11
F89OcdO8J8Y|||Paper Petals | Kannada|||4:34
4C18TYb98ME|||Pretty Bird | Kannada|||3:01
mYP_Vf3ANPU|||Astrosat India's first Space Observatory | Marathi|||4:47
poZ3ZF81YKg|||Zeno's Paradox Puzzle | Marathi|||3:20
cqSoLQey-Zw|||14 Page Book | Punjabi|||2:01
U0FIUaxUtnk|||Chai puzzle |  Marathi|||1:57
AVnSSSbiybA|||Chai puzzle | Answer | Marathi|||2:18
4rp_tfzplsc|||Zeno's Paradox Puzzle | Marathi | Answer|||2:31
0-iqTBbfpmM|||Water on Mars | Marathi|||3:37
xkaZ01e5aJ0|||Longer Summers in Northern Hemisphere | Marathi|||3:45
8nRHadIMNqE|||Which Hemisphere has hotter Summer | Marathi|||2:28
oOPL-cgalJE|||Real Cause Of Seasons | Marathi|||3:18
ko4InLaoiU4|||WHAT IS A ZERO SHADOW DAY | Marathi|||4:07
S_EySKfIX9c|||Why Seasons Happen  Misconceptions | Marathi|||2:36
snmCH25yI0k|||SIMPLE OBOE - TELUGU|||1:38
bGJmmLlaP48|||TREE TALE – PAPER MULBERRY - TELUGU|||1:50
W4w_fOJLU-k|||TREE TALE – QUEEN’S FLOWER - TELUGU|||1:54
P1ttfZoxkbg|||LOUD WHISTLE - TELUGU|||1:28
FHUxcO6jH2Q|||LIFT MARBLE WITHOUT TOUCHING - TELUGU|||1:12
089UYNjVsss|||BOTTLE FLOWERS - TELUGU|||1:23
lnr2Q_Jp58U|||PINHOLE CAMERA | Telugu|||3:15
dMawjSkqg4s|||TREE TALE | RAMPHAL - Telugu|||1:39
LmUbjocqMUg|||PAPER AEROPLANE | Telugu|||1:36
4uI27U7QH0s|||COLOURFUL PAPER CANDY | Telugu|||2:23
2jENpLa43D8|||TREE TALE | Delonix regia | GULMOHER - Telugu|||1:34
ved6XIvwNUQ|||TREE TALE |  PINK CASSIA | Telugu|||1:42
jZWkZ9mzGRY|||TREE TALE | COPPER POD | Telugu|||1:45
cVYWzMMLmKk|||SPINNING WHEEL | CHARKHA GENERATOR | Telugu|||2:37
I2FWCgrD9GE|||TREE TALE | WHITE CHAMPA|||1:23
Cf3Un9lihEk|||WHAT IS A ZERO SHADOW DAY | Telugu|||3:00
bD2l2uUHt24|||BRAIN MUSCLE COORDINATION | Gujarati|||1:02
_d3cIxJjnOY|||CENTRIFUGE SPRINKLER | Gujarati|||2:35
ATiYWmV5Mm0|||Vibrating Snake | Marathi|||2:06
3gJYW1p-mu4|||BOTTLE BAROMETER | Gujarati|||2:46
bKrcUOiJXrU|||PAPER WEDGE  - Telugu|||1:31
XE26ZA4uNRg|||TWO SQUARE TETRAHEDRON  - Telugu|||1:41
R9R4LOWNmdw|||12 - PIECE PAPER FLEXAGON - Telugu|||4:05
Ojqagk4goXk|||BIRTHDAY PUZZLE  - Telugu|||1:42
K73TRRcoFPI|||FOLDING TETRAHEDRON (SAMOSA)  - Telugu|||2:39
xskba-6rBHY|||4-PIECE PAPER PUZZLE - Telugu|||1:53
xsNg7bwK9bo|||White faced paper mouse - Telugu|||3:33
gFNBFwd3cNI|||FEELING THE ANGLES - Telugu|||1:19
KxfZ_qssSZM|||DOUBLE SPIRAL FROM SQUARE - Telugu|||3:49
CSuU23N5fk8|||ORIGAMI CAT - Telugu|||2:59
k4P9Kkccdok|||THREE DIGIT NUMBER TRICK | ENGLISH|||3:05
g7ShL4lyGh8|||Angle bisector therom by paper folding | English|||2:01
8uv9pGEI2TQ|||TWISTED CIRCLE | HINDI|||2:21
osRYfdy3sTg|||Single cut triangle | English|||3:04
_6CdTomCA78|||SHIMMERING BUTTERFLY | Gujarati|||2:36
OCiLu38MSLQ|||Angle Bisector Theorem by Paper Folding | Hindi|||2:01
AEhcBtv4Cds|||PAPER SKELETON | Gujarati|||3:56
dAFZ_1aQZa0|||Twisted Mobius Hearts | English|||2:09
X_MZLgHvp7k|||Twisted Circle | English|||2:21
kAG_aH72D9M|||Dual Mobius Strip Topology | English|||2:48
ViBU7Ka01sc|||Fun with Mobius strip | English|||3:14
8IS6JaR-b1E|||Interlocking Hearts | English|||2:23
WCEmY3u1ups|||3D OCTA FLEXAGON |Telugu|||3:13
9Fy_B_kVizo|||FINGER ANGLES  | Telugu|||1:46
8WiSG3_u6C4|||Paper Swan | Hindi|||2:21
3WKy3D-rDYo|||TREE TALE | INDIAN LABURNUM | Telugu|||1:53
2ajF0fKMHF4|||Magnetic Coin Spinner | Hindi|||4:04
y5-xPOM4LgQ|||ROYAL CAP - Telugu|||2:31
ZdO9_CJ9Gko|||Butterflies hide and Seek | Hindi|||3:25
NCKt8BoKzMM|||TREE TALE - Brownea grandiceps | Telugu|||1:19
9NbynuUI1JE|||UMBRELLA TREE | Telugu|||1:47
08TLP_eksDg|||HEXA HEDRON | Telugu|||2:26
ywO6tB0I63w|||TREE TALE | Tabebuia pentaphylla | Telugu|||1:53
_aJKI1tb5K0|||TREE TALE | SITA ASHOK | SARACA INDICA | Telugu|||1:31
M2emHbJe9vM|||TREE TALE JAMUN | Telugu|||1:32
FbfdTnvrJPc|||Simple Telescope | Hindi|||4:26
0uUSA5WzBDA|||TREE TALE NEEM & TAMARIND | Telugu|||2:42
p561xylYQoI|||Chemical Ball | Hindi|||2:09
fmMw6V5q0Ac|||TREE TALE JACARANDA - Telugu|||1:27
ZeK1HLAFmgk|||ALGEBRA WITH PAPER CUTTING - Telugu|||1:53
3vwPQh2vfvE|||ALGEBRA WITH PAPER CUTTING - Telugu|||2:16
0TsKhfDKNeI|||3D OCTA FLEXAGON - Telugu|||2:51
nEHW7XAmvko|||HIDING FISH  - Telugu|||2:40
XBL0qn1aANU|||AIR HAS WEIGHT  - Telugu|||2:25
IVNTgiiHd74|||Simple Telescope - English|||4:26
Honvh2SzSHM|||SUPER BOUNCY BALL - Telugu|||1:45
-fIIuacduSc|||3 D PAPER ILLUSION - Telugu|||1:52
thhVyUGEz8I|||MAGNETIC PROPELLER - Telugu|||2:37
hmXBfuOT_4I|||BIGGEST TRIANGLE FROM A4  - Telugu|||1:56
_YO3ef33HkQ|||MINISTERS PEN  - Telugu|||5:23
Y3Pz5TiKXHc|||Chemical Ball - English|||2:09
